Organisational unit name,Type,Pure ID,End date,Organisational unit taken over by,Start date,Parent organisational units,Visibility
Edinburgh Sports Medicine Research Centre,Research Centre,526232367,,,1 May 2021,Moray House School of Education and Sport,Public - No restriction
Edinburgh Climate Change Institute,Research Institute,515108456,,,1 Jan 2010,School of GeoSciences,Public - No restriction
Comparative Education and International Development Research Group,Research Group,497385686,,,1 Oct 2020,Moray House School of Education and Sport,Public - No restriction
Fetal Alcohol Advisory Support and Training Team,Support Group,489463880,,,1 Oct 2020,School of Health in Social Science,Public - No restriction
School of Genetics and Cancer,School,486822452,,,14 Jan 2025,College of Medicine and Veterinary Medicine,Backend - Restricted to Pure users
Peace And Conflict Resolution Evidence Platform,Research Group,486453967,,,1 Oct 2021,School of Law,Public - No restriction
UKRI AI CDT in Designing Responsible NLP,Sub-School,472970952,,,1 Sep 2024,School of Informatics,Public - No restriction
EPSRC CDT in Machine Learning Systems,Sub-School,472970759,,,1 Sep 2024,School of Informatics,Public - No restriction
UKRI AI CDT in Biomedical Innovation,Sub-School,472970550,,,1 Sep 2024,School of Informatics,Public - No restriction
Centre for Sustainable Forests and Landscapes,Research Centre,471351204,,,26 Sep 2018,School of GeoSciences,Public - No restriction
Child and Adolescent Mental Health Research (CAMHR) Centre,Research Group,465753776,,,24 Apr 2024,School of Health in Social Science,Public - No restriction
Old College Capital SI Limited Partnership,Support Group Dept,465108101,,,13 Aug 2024,Corporate Services,Public - No restriction
Edinburgh Research Office,Support Group Dept,465107865,,,13 Aug 2024,Corporate Services,Public - No restriction
Centre for Reproductive Health,Research Centre,453447507,,,1 Apr 2022,Institute of Regeneration and Repair,Public - No restriction
UKRI CDT in Biomedical AI,Sub-School,383646842,,,1 Apr 2019,School of Informatics,Public - No restriction
Music ,Department,383478048,,,1 Jan 2021,Edinburgh College of Art,Public - No restriction
History of Art,Department,383477921,,,1 Jan 2021,Edinburgh College of Art,Public - No restriction
Edinburgh School of Architecture and Landscape Architecture,Department,383477004,,,1 Jan 2021,Edinburgh College of Art,Public - No restriction
Design,Department,383476850,,,1 Jan 2021,Edinburgh College of Art,Public - No restriction
Art,Department,383476737,,,1 Jan 2021,Edinburgh College of Art,Public - No restriction
Talbot Rice Gallery,Research Facility,372359858,,,1 Jan 1975,Edinburgh College of Art,Public - No restriction
Student Recruitment and Admissions,Support Group Dept,369390003,,,7 Aug 2023,University Secretarys Group,Public - No restriction
The Hong Kong Foundation for the UoE Ltd,Support Group Dept,369389937,,,7 Aug 2023,Corporate Services,Backend - Restricted to Pure users
EUSBS Trustees Limited,Support Group Dept,369389871,,,7 Aug 2023,Corporate Services,Backend - Restricted to Pure users
Bayes Centre,School,369389812,,,7 Aug 2023,College of Science and Engineering,Public - No restriction
Edinburgh Parallel Computing Centre,School,369389663,,,7 Aug 2023,College of Science and Engineering,Public - No restriction
Edinburgh Centre for Financial Innovations,Research Centre,364938099,,,29 Mar 2023,Business School,Public - No restriction
Nursing Studies ,Department,364458324,,,1 Jan 1956,School of Health in Social Science,Public - No restriction
Data for Children Collaborative,Support Group,346901659,,,19 Sep 2019,Edinburgh Futures Institute,Public - No restriction
Centre for Science at Extreme Conditions,Research Centre,339539601,,,1 Jan 2000,School of Physics and Astronomy (+4 more),Backend - Restricted to Pure users
OPTIMA: The EPSRC and MRC Centre for Doctoral Training in Optical Medical Imaging,Sub-School,332378174,,,1 May 2014,School of Chemistry,Public - No restriction
Institute for Language Education,Research Institute,322729595,,,1 Aug 2020,Moray House School of Education and Sport,Public - No restriction
Smart Data Foundry Limited,Support Group Dept,321200741,,,17 Jan 2023,Corporate Services,Backend - Restricted to Pure users
Centre for Engineering Biology,Research Centre,311792298,,,22 Nov 2022,School of Biological Sciences,Public - No restriction
Childlight – Global Child Safety Institute,Research Institute,295192672,,,1 Nov 2021,"Institute for Education, Community & Society",Public - No restriction
Institute of Ecology and Evolution,Research Institute,288330787,,,1 Jun 2022,School of Biological Sciences,Backend - Restricted to Pure users
Edinburgh Centre for Research on the Experience of Dementia ,Research Centre,288059389,,,5 Jan 2015,School of Health in Social Science,Public - No restriction
Centre for Creative-Relational Inquiry,Research Centre,288059103,,,10 Dec 2017,School of Health in Social Science,Public - No restriction
Advanced Care Research Centre,Research Centre,286043173,,,1 Dec 2020,Usher Institute,Public - No restriction
Global Academy of Agriculture and Food Systems,Research Group,264383582,,,18 Apr 2022,Global Academies,Public - No restriction
Archaeology,Department,249578911,,,1 Jan 1946,"School of History, Classics and Archaeology",Public - No restriction
Classics,Department,249578860,,,1 Jan 1946,"School of History, Classics and Archaeology",Public - No restriction
History,Department,249578789,,,1 Jan 1946,"School of History, Classics and Archaeology",Public - No restriction
Translational Oncology Research Group,Research Group,247718815,,,1 Jan 2013,Edinburgh Cancer Research Centre,Backend - Restricted to Pure users
Politics and International Relations,Department,245556175,,,1 Aug 1963,School of Social and Political Science,Backend - Restricted to Pure users
Sociology,Department,243676312,,,1 Aug 1964,School of Social and Political Science,Backend - Restricted to Pure users
Social Work,Department,243676259,,,1 Aug 1918,School of Social and Political Science,Backend - Restricted to Pure users
Social Policy,Department,243676199,,,1 Aug 1968,School of Social and Political Science,Backend - Restricted to Pure users
Social Anthropology,Department,243676143,,,1 Aug 1946,School of Social and Political Science,Backend - Restricted to Pure users
"Science, Technology and Innovation Studies",Department,243676077,,,1 Aug 1966,School of Social and Political Science,Backend - Restricted to Pure users
Centre of African Studies,Department,243675981,,,1 Aug 1962,School of Social and Political Science,Backend - Restricted to Pure users
Linguistics and English Language,Department,232832284,,,1 Jan 1950,"School of Philosophy, Psychology and Language Sciences",Backend - Restricted to Pure users
Psychology,Department,232832113,,,1 Jan 1950,"School of Philosophy, Psychology and Language Sciences",Backend - Restricted to Pure users
Philosophy,Department,232828403,,,1 Aug 2002,"School of Philosophy, Psychology and Language Sciences",Backend - Restricted to Pure users
Governance and Strategic Planning,Support Group Dept,221777188,,,10 Aug 2021,University Secretarys Group,Backend - Restricted to Pure users
